stock_code,description,forecast_origin,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,uncertainty_ratio,abc_class,last_month_units,ma3_units,months_since_last_sale,product_age_months,status,run_id
10002,INFLATABLE POLITICAL GLOBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,A,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
10002R,ROBOT PENCIL SHARPNER,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
10080,GROOVY CACTUS INFLATABLE,2011-11,2011-12,M2_gbm_poisson,51.817348,7.845233,product,17,1.645000,12.905409,65,0.151402,C,91,52.333333,1,24,Forecast,20260824T181001Z-27103c
10109,BENDY COLOUR PENCILS,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
10120,DOGGY RUBBER,2011-11,2011-12,M2_gbm_poisson,47.636304,16.681791,product,18,1.645000,27.441546,76,0.350191,C,49,23.000000,1,24,Forecast,20260824T181001Z-27103c
10123C,HEARTS WRAPPING TAPE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
10123G,ARMY CAMO WRAPPING TAPE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,8.254066,6.366615,product,16,1.645000,10.473082,19,0.771331,C,4,1.333333,1,21,Forecast,20260824T181001Z-27103c
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,8.551676,7.656444,product,18,1.645000,12.594851,22,0.895315,C,4,2.666667,1,19,Forecast,20260824T181001Z-27103c
10125,MINI FUNKY DESIGN TAPES,2011-11,2011-12,M2_gbm_poisson,56.229482,82.296076,product,18,1.645000,135.377046,192,1.463575,B,62,107.666667,1,24,Forecast,20260824T181001Z-27103c
10133,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,22.297543,67.388394,product,18,1.645000,110.853908,134,3.022234,B,0,69.000000,3,24,Forecast,20260824T181001Z-27103c
10134,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
10135,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,82.679796,61.286941,product,18,1.645000,100.817017,184,0.741257,A,181,106.666667,1,24,Forecast,20260824T181001Z-27103c
10138,ASSORTED COLOUR JUMBO PEN,2011-11,2011-12,M2_gbm_poisson,,,,,,,,,C,0,,,,Inactive (no sales in last 6 months),20260824T181001Z-27103c
11001,ASSTD DESIGN RACING CAR PEN,2011-11,2011-12,M2_gbm_poisson,111.076280,146.443105,product,18,1.645000,240.898908,352,1.318401,A,128,113.333333,1,24,Forecast,20260824T181001Z-27103c
15030,FAN BLACK FRAME,2011-11,2011-12,M2_gbm_poisson,30.048406,18.063931,product,18,1.645000,29.715166,60,0.601161,C,22,11.666667,1,24,Forecast,20260824T181001Z-27103c
15034,PAPER POCKET TRAVELING FAN,2011-11,2011-12,M2_gbm_poisson,297.181418,433.167918,product,18,1.645000,712.561225,1010,1.457587,C,573,919.333333,1,24,Forecast,20260824T181001Z-27103c
15036,ASSORTED COLOURS SILK FAN,2011-11,2011-12,M2_gbm_poisson,458.264900,1500.349486,product,18,1.645000,2468.074904,2927,3.273979,A,604,782.000000,1,24,Forecast,20260824T181001Z-27103c
15039,SANDALWOOD FAN,2011-11,2011-12,M2_gbm_poisson,109.692193,133.278311,product,18,1.645000,219.242822,329,1.215021,B,208,134.333333,1,24,Forecast,20260824T181001Z-27103c
15044A,PINK PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,43.325989,45.016933,product,18,1.645000,74.052855,118,1.039028,A,34,23.000000,1,24,Forecast,20260824T181001Z-27103c
15044B,BLUE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,7.934775,36.643589,product,18,1.645000,60.278705,69,4.618100,A,0,2.000000,3,24,Forecast,20260824T181001Z-27103c
15044C,PURPLE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,32.006781,27.320816,product,18,1.645000,44.942742,77,0.853595,B,16,17.666667,1,24,Forecast,20260824T181001Z-27103c
15044D,RED PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,45.964293,64.848420,product,18,1.645000,106.675651,153,1.410843,A,24,67.333333,1,24,Forecast,20260824T181001Z-27103c
15056BL,EDWARDIAN PARASOL BLACK,2011-11,2011-12,M2_gbm_poisson,159.040461,178.310245,product,18,1.645000,293.320353,453,1.121163,A,176,333.000000,1,24,Forecast,20260824T181001Z-27103c
