stock_code,description,forecast_origin,target_month,model,prediction,lag_1,rolling_mean_3,abc_class,is_active,status
10080,GROOVY CACTUS INFLATABLE,2011-11,2011-12,M2_gbm_poisson,51.817348,91,52.333333,C,True,Forecast
10120,DOGGY RUBBER,2011-11,2011-12,M2_gbm_poisson,47.636304,49,23.000000,C,True,Forecast
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,8.254066,4,1.333333,C,True,Forecast
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,2011-12,M2_gbm_poisson,8.551676,4,2.666667,C,True,Forecast
10125,MINI FUNKY DESIGN TAPES,2011-11,2011-12,M2_gbm_poisson,56.229482,62,107.666667,B,True,Forecast
10133,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,22.297543,0,69.000000,B,True,Forecast
10135,COLOURING PENCILS BROWN TUBE,2011-11,2011-12,M2_gbm_poisson,82.679796,181,106.666667,A,True,Forecast
11001,ASSTD DESIGN RACING CAR PEN,2011-11,2011-12,M2_gbm_poisson,111.076280,128,113.333333,A,True,Forecast
15030,FAN BLACK FRAME,2011-11,2011-12,M2_gbm_poisson,30.048406,22,11.666667,C,True,Forecast
15034,PAPER POCKET TRAVELING FAN,2011-11,2011-12,M2_gbm_poisson,297.181418,573,919.333333,C,True,Forecast
15036,ASSORTED COLOURS SILK FAN,2011-11,2011-12,M2_gbm_poisson,458.264900,604,782.000000,A,True,Forecast
15039,SANDALWOOD FAN,2011-11,2011-12,M2_gbm_poisson,109.692193,208,134.333333,B,True,Forecast
15044A,PINK PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,43.325989,34,23.000000,A,True,Forecast
15044B,BLUE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,7.934775,0,2.000000,A,True,Forecast
15044C,PURPLE PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,32.006781,16,17.666667,B,True,Forecast
15044D,RED PAPER PARASOL,2011-11,2011-12,M2_gbm_poisson,45.964293,24,67.333333,A,True,Forecast
15056BL,EDWARDIAN PARASOL BLACK,2011-11,2011-12,M2_gbm_poisson,159.040461,176,333.000000,A,True,Forecast
15056N,EDWARDIAN PARASOL NATURAL,2011-11,2011-12,M2_gbm_poisson,162.535003,169,271.666667,A,True,Forecast
15056P,EDWARDIAN PARASOL PINK,2011-11,2011-12,M2_gbm_poisson,61.905701,88,62.000000,A,True,Forecast
15058A,BLUE POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,8.893067,2,3.666667,B,True,Forecast
15058B,PINK POLKADOT GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,8.242891,1,2.666667,B,True,Forecast
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-11,2011-12,M2_gbm_poisson,5.735005,1,2.000000,B,True,Forecast
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-11,2011-12,M2_gbm_poisson,31.545643,19,40.000000,A,True,Forecast
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-11,2011-12,M2_gbm_poisson,228.573973,941,517.000000,C,True,Forecast
16011,ANIMAL STICKERS,2011-11,2011-12,M2_gbm_poisson,134.681192,359,175.333333,C,True,Forecast
16012,FOOD/DRINK SPONGE STICKERS,2011-11,2011-12,M2_gbm_poisson,79.933767,168,64.000000,C,True,Forecast
16014,SMALL CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,645.612242,3606,1569.000000,A,True,Forecast
16015,MEDIUM CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,40.228264,30,16.666667,C,True,Forecast
16016,LARGE CHINESE STYLE SCISSOR,2011-11,2011-12,M2_gbm_poisson,65.394055,140,76.666667,B,True,Forecast
16020C,CLEAR STATIONERY BOX SET,2011-11,2011-12,M2_gbm_poisson,2.006944,0,0.000000,C,True,Forecast
16043,POP ART PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,2.837980,0,0.000000,C,True,Forecast
16045,POPART WOODEN PENCILS ASST,2011-11,2011-12,M2_gbm_poisson,465.260953,1000,1366.666667,C,True,Forecast
16046,TEATIME PEN CASE & PENS,2011-11,2011-12,M2_gbm_poisson,6.271695,1,1.333333,B,True,Forecast
16048,TEATIME ROUND PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,99.352852,126,160.333333,C,True,Forecast
16052,TEATIME PUSH DOWN RUBBER,2011-11,2011-12,M2_gbm_poisson,2.035470,0,0.000000,C,True,Forecast
16054,POPART RECT PENCIL SHARPENER ASST,2011-11,2011-12,M2_gbm_poisson,95.960280,330,231.333333,C,True,Forecast
16156L,"WRAP, CAROUSEL",2011-11,2011-12,M2_gbm_poisson,32.256205,25,25.000000,C,True,Forecast
16156S,WRAP PINK FAIRY CAKES,2011-11,2011-12,M2_gbm_poisson,185.839007,475,616.666667,A,True,Forecast
16161G,WRAP BAD HAIR DAY,2011-11,2011-12,M2_gbm_poisson,59.640306,125,116.666667,C,True,Forecast
16161P,WRAP ENGLISH ROSE,2011-11,2011-12,M2_gbm_poisson,224.832104,525,666.666667,A,True,Forecast
16161U,WRAP SUKI AND FRIENDS,2011-11,2011-12,M2_gbm_poisson,143.881202,300,491.666667,B,True,Forecast
16162L,THE KING GIFT BAG,2011-11,2011-12,M2_gbm_poisson,5.682340,0,3.333333,C,True,Forecast
16162M,THE KING GIFT BAG 25x24x12cm,2011-11,2011-12,M2_gbm_poisson,14.599696,4,6.000000,C,True,Forecast
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2011-11,2011-12,M2_gbm_poisson,40.594620,35,19.333333,C,True,Forecast
16169E,WRAP 50'S  CHRISTMAS,2011-11,2011-12,M2_gbm_poisson,652.569014,1625,1254.000000,C,True,Forecast
16169K,WRAP FOLK ART,2011-11,2011-12,M2_gbm_poisson,9.336393,0,16.666667,C,True,Forecast
16169M,WRAP DAISY CARPET,2011-11,2011-12,M2_gbm_poisson,43.880783,50,50.000000,C,True,Forecast
16207A,PINK STRAWBERRY HANDBAG,2011-11,2011-12,M2_gbm_poisson,9.187304,1,2.333333,C,True,Forecast
16207B,PINK HEART RED HANDBAG,2011-11,2011-12,M2_gbm_poisson,3.130582,0,0.000000,C,True,Forecast
16216,LETTER SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,207.859649,394,251.666667,C,True,Forecast
16218,CARTOON  PENCIL SHARPENERS,2011-11,2011-12,M2_gbm_poisson,227.044976,565,550.333333,C,True,Forecast
16219,HOUSE SHAPE PENCIL SHARPENER,2011-11,2011-12,M2_gbm_poisson,227.015993,265,424.666667,C,True,Forecast
16225,RATTLE SNAKE EGGS,2011-11,2011-12,M2_gbm_poisson,64.382420,112,79.333333,C,True,Forecast
16235,RECYCLED PENCIL WITH RABBIT ERASER,2011-11,2011-12,M2_gbm_poisson,127.842328,228,173.000000,B,True,Forecast
16236,KITTY PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,112.532162,260,165.333333,C,True,Forecast
16237,SLEEPING CAT ERASERS,2011-11,2011-12,M2_gbm_poisson,325.197768,927,517.666667,B,True,Forecast
16238,PARTY TIME PENCIL ERASERS,2011-11,2011-12,M2_gbm_poisson,73.501340,176,121.333333,C,True,Forecast
16248B,BLUE HOLE PUNCH,2011-11,2011-12,M2_gbm_poisson,6.032512,0,3.000000,C,True,Forecast
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-11,2011-12,M2_gbm_poisson,18.605414,7,7.666667,C,True,Forecast
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2011-11,2011-12,M2_gbm_poisson,54.656386,37,42.000000,C,True,Forecast
16259,PIECE OF CAMO STATIONERY SET,2011-11,2011-12,M2_gbm_poisson,149.437944,20,166.666667,C,True,Forecast
17003,BROCADE RING PURSE,2011-11,2011-12,M2_gbm_poisson,727.955925,1071,1876.666667,A,True,Forecast
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2011-11,2011-12,M2_gbm_poisson,1.984807,0,0.000000,C,True,Forecast
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,34.436074,10,54.000000,C,True,Forecast
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,33.897451,5,60.666667,C,True,Forecast
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2011-11,2011-12,M2_gbm_poisson,60.106582,94,58.666667,C,True,Forecast
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2011-11,2011-12,M2_gbm_poisson,78.992598,165,98.000000,C,True,Forecast
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2011-11,2011-12,M2_gbm_poisson,77.543062,162,81.333333,C,True,Forecast
17013D,ORIGAMI ROSE INCENSE IN TUBE,2011-11,2011-12,M2_gbm_poisson,2.005555,0,0.000000,C,True,Forecast
17014A,ORIGAMI VANILLA INCENSE CONES,2011-11,2011-12,M2_gbm_poisson,2.027923,0,0.000000,C,True,Forecast
17021,NAMASTE SWAGAT INCENSE,2011-11,2011-12,M2_gbm_poisson,63.810121,108,144.000000,C,True,Forecast
17038,PORCELAIN BUDAH INCENSE HOLDER,2011-11,2011-12,M2_gbm_poisson,81.093105,204,203.000000,C,True,Forecast
17084A,TRANQUILITY MASALA INCENSE,2011-11,2011-12,M2_gbm_poisson,7.131743,0,8.333333,C,True,Forecast
