stock_code,description,forecast_origin,horizon,target_month,model,forecast,sigma,sigma_source,n_residuals_product,z,safety_stock,target_inventory,abc_class,status,run_id
10080,GROOVY CACTUS INFLATABLE,2011-11,1,2011-12,M2_gbm_poisson,51.817348,7.845233,product,17,1.645000,12.905409,65,C,Forecast,20260824T181001Z-27103c
10120,DOGGY RUBBER,2011-11,1,2011-12,M2_gbm_poisson,47.636304,16.681791,product,18,1.645000,27.441546,76,C,Forecast,20260824T181001Z-27103c
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,1,2011-12,M2_gbm_poisson,8.254066,6.366615,product,16,1.645000,10.473082,19,C,Forecast,20260824T181001Z-27103c
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,1,2011-12,M2_gbm_poisson,8.551676,7.656444,product,18,1.645000,12.594851,22,C,Forecast,20260824T181001Z-27103c
10125,MINI FUNKY DESIGN TAPES,2011-11,1,2011-12,M2_gbm_poisson,56.229482,82.296076,product,18,1.645000,135.377046,192,B,Forecast,20260824T181001Z-27103c
10133,COLOURING PENCILS BROWN TUBE,2011-11,1,2011-12,M2_gbm_poisson,22.297543,67.388394,product,18,1.645000,110.853908,134,B,Forecast,20260824T181001Z-27103c
10135,COLOURING PENCILS BROWN TUBE,2011-11,1,2011-12,M2_gbm_poisson,82.679796,61.286941,product,18,1.645000,100.817017,184,A,Forecast,20260824T181001Z-27103c
11001,ASSTD DESIGN RACING CAR PEN,2011-11,1,2011-12,M2_gbm_poisson,111.076280,146.443105,product,18,1.645000,240.898908,352,A,Forecast,20260824T181001Z-27103c
15030,FAN BLACK FRAME,2011-11,1,2011-12,M2_gbm_poisson,30.048406,18.063931,product,18,1.645000,29.715166,60,C,Forecast,20260824T181001Z-27103c
15034,PAPER POCKET TRAVELING FAN,2011-11,1,2011-12,M2_gbm_poisson,297.181418,433.167918,product,18,1.645000,712.561225,1010,C,Forecast,20260824T181001Z-27103c
15036,ASSORTED COLOURS SILK FAN,2011-11,1,2011-12,M2_gbm_poisson,458.264900,1500.349486,product,18,1.645000,2468.074904,2927,A,Forecast,20260824T181001Z-27103c
15039,SANDALWOOD FAN,2011-11,1,2011-12,M2_gbm_poisson,109.692193,133.278311,product,18,1.645000,219.242822,329,B,Forecast,20260824T181001Z-27103c
15044A,PINK PAPER PARASOL,2011-11,1,2011-12,M2_gbm_poisson,43.325989,45.016933,product,18,1.645000,74.052855,118,A,Forecast,20260824T181001Z-27103c
15044B,BLUE PAPER PARASOL,2011-11,1,2011-12,M2_gbm_poisson,7.934775,36.643589,product,18,1.645000,60.278705,69,A,Forecast,20260824T181001Z-27103c
15044C,PURPLE PAPER PARASOL,2011-11,1,2011-12,M2_gbm_poisson,32.006781,27.320816,product,18,1.645000,44.942742,77,B,Forecast,20260824T181001Z-27103c
15044D,RED PAPER PARASOL,2011-11,1,2011-12,M2_gbm_poisson,45.964293,64.848420,product,18,1.645000,106.675651,153,A,Forecast,20260824T181001Z-27103c
15056BL,EDWARDIAN PARASOL BLACK,2011-11,1,2011-12,M2_gbm_poisson,159.040461,178.310245,product,18,1.645000,293.320353,453,A,Forecast,20260824T181001Z-27103c
15056N,EDWARDIAN PARASOL NATURAL,2011-11,1,2011-12,M2_gbm_poisson,162.535003,145.044505,product,18,1.645000,238.598211,402,A,Forecast,20260824T181001Z-27103c
15056P,EDWARDIAN PARASOL PINK,2011-11,1,2011-12,M2_gbm_poisson,61.905701,57.840947,product,18,1.645000,95.148357,158,A,Forecast,20260824T181001Z-27103c
15058A,BLUE POLKADOT GARDEN PARASOL,2011-11,1,2011-12,M2_gbm_poisson,8.893067,22.713863,product,18,1.645000,37.364304,47,B,Forecast,20260824T181001Z-27103c
15058B,PINK POLKADOT GARDEN PARASOL,2011-11,1,2011-12,M2_gbm_poisson,8.242891,17.146935,product,18,1.645000,28.206708,37,B,Forecast,20260824T181001Z-27103c
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-11,1,2011-12,M2_gbm_poisson,5.735005,14.394025,product,18,1.645000,23.678171,30,B,Forecast,20260824T181001Z-27103c
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-11,1,2011-12,M2_gbm_poisson,31.545643,29.629739,product,18,1.645000,48.740921,81,A,Forecast,20260824T181001Z-27103c
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-11,1,2011-12,M2_gbm_poisson,228.573973,50.118601,product,18,1.645000,82.445099,312,C,Forecast,20260824T181001Z-27103c
16011,ANIMAL STICKERS,2011-11,1,2011-12,M2_gbm_poisson,134.681192,100.852808,product,18,1.645000,165.902869,301,C,Forecast,20260824T181001Z-27103c
16012,FOOD/DRINK SPONGE STICKERS,2011-11,1,2011-12,M2_gbm_poisson,79.933767,144.061194,product,18,1.645000,236.980664,317,C,Forecast,20260824T181001Z-27103c
16014,SMALL CHINESE STYLE SCISSOR,2011-11,1,2011-12,M2_gbm_poisson,645.612242,1596.262979,product,18,1.645000,2625.852601,3272,A,Forecast,20260824T181001Z-27103c
16015,MEDIUM CHINESE STYLE SCISSOR,2011-11,1,2011-12,M2_gbm_poisson,40.228264,63.999506,product,18,1.645000,105.279188,146,C,Forecast,20260824T181001Z-27103c
16016,LARGE CHINESE STYLE SCISSOR,2011-11,1,2011-12,M2_gbm_poisson,65.394055,47.966651,product,18,1.645000,78.905141,145,B,Forecast,20260824T181001Z-27103c
16020C,CLEAR STATIONERY BOX SET,2011-11,1,2011-12,M2_gbm_poisson,2.006944,15.020700,product,18,1.645000,24.709052,27,C,Forecast,20260824T181001Z-27103c
16043,POP ART PUSH DOWN RUBBER,2011-11,1,2011-12,M2_gbm_poisson,2.837980,56.494765,product,16,1.645000,92.933888,96,C,Forecast,20260824T181001Z-27103c
16045,POPART WOODEN PENCILS ASST,2011-11,1,2011-12,M2_gbm_poisson,465.260953,114.240916,product,18,1.645000,187.926306,654,C,Forecast,20260824T181001Z-27103c
16046,TEATIME PEN CASE & PENS,2011-11,1,2011-12,M2_gbm_poisson,6.271695,17.664771,product,18,1.645000,29.058549,36,B,Forecast,20260824T181001Z-27103c
16048,TEATIME ROUND PENCIL SHARPENER,2011-11,1,2011-12,M2_gbm_poisson,99.352852,104.302141,product,18,1.645000,171.577022,271,C,Forecast,20260824T181001Z-27103c
16052,TEATIME PUSH DOWN RUBBER,2011-11,1,2011-12,M2_gbm_poisson,2.035470,39.736420,product,18,1.645000,65.366411,68,C,Forecast,20260824T181001Z-27103c
16054,POPART RECT PENCIL SHARPENER ASST,2011-11,1,2011-12,M2_gbm_poisson,95.960280,32.537846,product,18,1.645000,53.524757,150,C,Forecast,20260824T181001Z-27103c
16156L,"WRAP, CAROUSEL",2011-11,1,2011-12,M2_gbm_poisson,32.256205,27.135278,product,18,1.645000,44.637532,77,C,Forecast,20260824T181001Z-27103c
16156S,WRAP PINK FAIRY CAKES,2011-11,1,2011-12,M2_gbm_poisson,185.839007,404.762864,product,18,1.645000,665.834911,852,A,Forecast,20260824T181001Z-27103c
16161G,WRAP BAD HAIR DAY,2011-11,1,2011-12,M2_gbm_poisson,59.640306,50.993184,product,18,1.645000,83.883788,144,C,Forecast,20260824T181001Z-27103c
16161P,WRAP ENGLISH ROSE,2011-11,1,2011-12,M2_gbm_poisson,224.832104,262.658528,product,18,1.645000,432.073278,657,A,Forecast,20260824T181001Z-27103c
16161U,WRAP SUKI AND FRIENDS,2011-11,1,2011-12,M2_gbm_poisson,143.881202,214.669244,product,18,1.645000,353.130906,498,B,Forecast,20260824T181001Z-27103c
16162L,THE KING GIFT BAG,2011-11,1,2011-12,M2_gbm_poisson,5.682340,18.993361,product,18,1.645000,31.244079,37,C,Forecast,20260824T181001Z-27103c
16162M,THE KING GIFT BAG 25x24x12cm,2011-11,1,2011-12,M2_gbm_poisson,14.599696,18.018057,product,15,1.645000,29.639703,45,C,Forecast,20260824T181001Z-27103c
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2011-11,1,2011-12,M2_gbm_poisson,40.594620,19.164179,product,18,1.645000,31.525075,73,C,Forecast,20260824T181001Z-27103c
16169E,WRAP 50'S  CHRISTMAS,2011-11,1,2011-12,M2_gbm_poisson,652.569014,7.836625,abc_group,4,1.645000,12.891247,666,C,Forecast,20260824T181001Z-27103c
16169K,WRAP FOLK ART,2011-11,1,2011-12,M2_gbm_poisson,9.336393,58.395602,product,18,1.645000,96.060765,106,C,Forecast,20260824T181001Z-27103c
16169M,WRAP DAISY CARPET,2011-11,1,2011-12,M2_gbm_poisson,43.880783,55.449151,product,18,1.645000,91.213853,136,C,Forecast,20260824T181001Z-27103c
16207A,PINK STRAWBERRY HANDBAG,2011-11,1,2011-12,M2_gbm_poisson,9.187304,13.152106,product,18,1.645000,21.635214,31,C,Forecast,20260824T181001Z-27103c
16207B,PINK HEART RED HANDBAG,2011-11,1,2011-12,M2_gbm_poisson,3.130582,2.979731,product,18,1.645000,4.901658,9,C,Forecast,20260824T181001Z-27103c
16216,LETTER SHAPE PENCIL SHARPENER,2011-11,1,2011-12,M2_gbm_poisson,207.859649,111.654905,product,18,1.645000,183.672319,392,C,Forecast,20260824T181001Z-27103c
16218,CARTOON  PENCIL SHARPENERS,2011-11,1,2011-12,M2_gbm_poisson,227.044976,127.928470,product,18,1.645000,210.442333,438,C,Forecast,20260824T181001Z-27103c
16219,HOUSE SHAPE PENCIL SHARPENER,2011-11,1,2011-12,M2_gbm_poisson,227.015993,79.872573,product,18,1.645000,131.390382,359,C,Forecast,20260824T181001Z-27103c
16225,RATTLE SNAKE EGGS,2011-11,1,2011-12,M2_gbm_poisson,64.382420,27.424370,product,18,1.645000,45.113089,110,C,Forecast,20260824T181001Z-27103c
16235,RECYCLED PENCIL WITH RABBIT ERASER,2011-11,1,2011-12,M2_gbm_poisson,127.842328,154.087403,product,18,1.645000,253.473777,382,B,Forecast,20260824T181001Z-27103c
16236,KITTY PENCIL ERASERS,2011-11,1,2011-12,M2_gbm_poisson,112.532162,101.810893,product,18,1.645000,167.478919,281,C,Forecast,20260824T181001Z-27103c
16237,SLEEPING CAT ERASERS,2011-11,1,2011-12,M2_gbm_poisson,325.197768,231.897307,product,18,1.645000,381.471070,707,B,Forecast,20260824T181001Z-27103c
16238,PARTY TIME PENCIL ERASERS,2011-11,1,2011-12,M2_gbm_poisson,73.501340,44.783212,product,18,1.645000,73.668384,148,C,Forecast,20260824T181001Z-27103c
16248B,BLUE HOLE PUNCH,2011-11,1,2011-12,M2_gbm_poisson,6.032512,5.604349,product,14,1.645000,9.219155,16,C,Forecast,20260824T181001Z-27103c
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-11,1,2011-12,M2_gbm_poisson,18.605414,7.380299,product,17,1.645000,12.140591,31,C,Forecast,20260824T181001Z-27103c
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2011-11,1,2011-12,M2_gbm_poisson,54.656386,29.067920,product,18,1.645000,47.816729,103,C,Forecast,20260824T181001Z-27103c
16259,PIECE OF CAMO STATIONERY SET,2011-11,1,2011-12,M2_gbm_poisson,149.437944,278.193378,product,18,1.645000,457.628106,608,C,Forecast,20260824T181001Z-27103c
17003,BROCADE RING PURSE,2011-11,1,2011-12,M2_gbm_poisson,727.955925,2158.926913,product,18,1.645000,3551.434772,4280,A,Forecast,20260824T181001Z-27103c
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2011-11,1,2011-12,M2_gbm_poisson,1.984807,5.197969,product,18,1.645000,8.550658,11,C,Forecast,20260824T181001Z-27103c
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2011-11,1,2011-12,M2_gbm_poisson,34.436074,34.233112,product,18,1.645000,56.313470,91,C,Forecast,20260824T181001Z-27103c
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2011-11,1,2011-12,M2_gbm_poisson,33.897451,35.726649,product,18,1.645000,58.770337,93,C,Forecast,20260824T181001Z-27103c
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2011-11,1,2011-12,M2_gbm_poisson,60.106582,14.242604,product,18,1.645000,23.429083,84,C,Forecast,20260824T181001Z-27103c
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2011-11,1,2011-12,M2_gbm_poisson,78.992598,15.500069,product,18,1.645000,25.497614,105,C,Forecast,20260824T181001Z-27103c
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2011-11,1,2011-12,M2_gbm_poisson,77.543062,10.000021,product,18,1.645000,16.450034,94,C,Forecast,20260824T181001Z-27103c
17013D,ORIGAMI ROSE INCENSE IN TUBE,2011-11,1,2011-12,M2_gbm_poisson,2.005555,47.089890,product,18,1.645000,77.462868,80,C,Forecast,20260824T181001Z-27103c
17014A,ORIGAMI VANILLA INCENSE CONES,2011-11,1,2011-12,M2_gbm_poisson,2.027923,11.869629,product,17,1.645000,19.525540,22,C,Forecast,20260824T181001Z-27103c
17021,NAMASTE SWAGAT INCENSE,2011-11,1,2011-12,M2_gbm_poisson,63.810121,76.251741,product,18,1.645000,125.434113,190,C,Forecast,20260824T181001Z-27103c
17038,PORCELAIN BUDAH INCENSE HOLDER,2011-11,1,2011-12,M2_gbm_poisson,81.093105,105.743084,product,18,1.645000,173.947373,256,C,Forecast,20260824T181001Z-27103c
17084A,TRANQUILITY MASALA INCENSE,2011-11,1,2011-12,M2_gbm_poisson,7.131743,35.013717,product,18,1.645000,57.597564,65,C,Forecast,20260824T181001Z-27103c
