stock_code,description,abc_class,period_type,period,model,forecast,safety_stock,target_inventory,actual,n_months,months_included,complete,source,run_id
10002,INFLATABLE POLITICAL GLOBE,A,month,2011-06,M2_gbm_poisson,21.918108,593.425208,616,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10080,GROOVY CACTUS INFLATABLE,C,month,2011-06,M2_gbm_poisson,3.704693,11.264511,15,60.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10120,DOGGY RUBBER,C,month,2011-06,M2_gbm_poisson,19.199930,31.750940,51,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10123C,HEARTS WRAPPING TAPE,C,month,2011-06,M2_gbm_poisson,3.658001,48.634789,53,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10124A,SPOTS ON RED BOOKCOVER TAPE,C,month,2011-06,M2_gbm_poisson,3.304439,23.344277,27,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10124G,ARMY CAMO BOOKCOVER TAPE,C,month,2011-06,M2_gbm_poisson,3.304439,14.063164,18,0.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10125,MINI FUNKY DESIGN TAPES,B,month,2011-06,M2_gbm_poisson,102.074351,123.235528,226,15.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10133,COLOURING PENCILS BROWN TUBE,B,month,2011-06,M2_gbm_poisson,58.904475,69.677929,129,525.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
10135,COLOURING PENCILS BROWN TUBE,A,month,2011-06,M2_gbm_poisson,46.740333,165.853312,213,55.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
11001,ASSTD DESIGN RACING CAR PEN,A,month,2011-06,M2_gbm_poisson,71.223383,222.901413,295,201.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15030,FAN BLACK FRAME,C,month,2011-06,M2_gbm_poisson,4.900071,21.483836,27,10.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15034,PAPER POCKET TRAVELING FAN,C,month,2011-06,M2_gbm_poisson,475.876328,684.870964,1161,1621.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15036,ASSORTED COLOURS SILK FAN,A,month,2011-06,M2_gbm_poisson,4013.736410,3230.278722,7245,3346.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15039,SANDALWOOD FAN,B,month,2011-06,M2_gbm_poisson,343.993277,254.846276,599,470.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15044A,PINK PAPER PARASOL,A,month,2011-06,M2_gbm_poisson,74.884914,140.608116,216,63.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15044B,BLUE PAPER PARASOL,A,month,2011-06,M2_gbm_poisson,93.460167,136.490415,230,37.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
15044C,PURPLE PAPER PARASOL,B,month,2011-06,M2_gbm_poisson,43.101888,38.089835,82,44.000000,1,2011-06,True,holdout_simulation,20260824T181001Z-27103c
