stock_code,quarter,model,forecast_sum,actual_sum,n_months,complete,months_included,estimate_type
10002,2010-Q2,B2_ma3,1079.333333,463.000000,1,False,2010-06,
10002,2010-Q2,M2_gbm_poisson,1022.703196,463.000000,1,False,2010-06,
10002R,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10002R,2010-Q2,M2_gbm_poisson,2.489592,0.000000,1,False,2010-06,
10080,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10080,2010-Q2,M2_gbm_poisson,2.724512,0.000000,1,False,2010-06,
10109,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10109,2010-Q2,M2_gbm_poisson,2.881395,0.000000,1,False,2010-06,
10120,2010-Q2,B2_ma3,44.000000,30.000000,1,False,2010-06,
10120,2010-Q2,M2_gbm_poisson,67.964324,30.000000,1,False,2010-06,
10123C,2010-Q2,B2_ma3,28.333333,2.000000,1,False,2010-06,
10123C,2010-Q2,M2_gbm_poisson,53.073864,2.000000,1,False,2010-06,
10123G,2010-Q2,B2_ma3,0.000000,0.000000,1,False,2010-06,
10123G,2010-Q2,M2_gbm_poisson,2.225303,0.000000,1,False,2010-06,
10124A,2010-Q2,B2_ma3,1.333333,3.000000,1,False,2010-06,
10124A,2010-Q2,M2_gbm_poisson,29.828680,3.000000,1,False,2010-06,
10124G,2010-Q2,B2_ma3,0.666667,3.000000,1,False,2010-06,
10124G,2010-Q2,M2_gbm_poisson,17.472505,3.000000,1,False,2010-06,
10125,2010-Q2,B2_ma3,50.000000,64.000000,1,False,2010-06,
10125,2010-Q2,M2_gbm_poisson,28.044061,64.000000,1,False,2010-06,
10133,2010-Q2,B2_ma3,57.333333,30.000000,1,False,2010-06,
10133,2010-Q2,M2_gbm_poisson,78.986345,30.000000,1,False,2010-06,
10134,2010-Q2,B2_ma3,31.000000,17.000000,1,False,2010-06,
10134,2010-Q2,M2_gbm_poisson,28.962439,17.000000,1,False,2010-06,
10135,2010-Q2,B2_ma3,101.333333,73.000000,1,False,2010-06,
10135,2010-Q2,M2_gbm_poisson,97.926737,73.000000,1,False,2010-06,
10138,2010-Q2,B2_ma3,11.333333,0.000000,1,False,2010-06,
10138,2010-Q2,M2_gbm_poisson,14.203994,0.000000,1,False,2010-06,
11001,2010-Q2,B2_ma3,278.333333,204.000000,1,False,2010-06,
11001,2010-Q2,M2_gbm_poisson,184.878190,204.000000,1,False,2010-06,
15030,2010-Q2,B2_ma3,6.666667,10.000000,1,False,2010-06,
15030,2010-Q2,M2_gbm_poisson,15.492273,10.000000,1,False,2010-06,
15034,2010-Q2,B2_ma3,195.333333,845.000000,1,False,2010-06,
15034,2010-Q2,M2_gbm_poisson,253.922133,845.000000,1,False,2010-06,
15036,2010-Q2,B2_ma3,1972.333333,4265.000000,1,False,2010-06,
15036,2010-Q2,M2_gbm_poisson,1525.367329,4265.000000,1,False,2010-06,
15039,2010-Q2,B2_ma3,97.666667,401.000000,1,False,2010-06,
