stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
10002,2011-06,B1_last_month,263.161500,product,12,A,False
10080,2011-06,B1_last_month,1.482600,product,11,C,False
10120,2011-06,B1_last_month,31.134600,product,12,C,False
10123C,2011-06,B1_last_month,14.826000,product,12,C,False
10124A,2011-06,B1_last_month,3.706500,product,12,C,False
10124G,2011-06,B1_last_month,2.965200,product,12,C,False
10125,2011-06,B1_last_month,37.065000,product,12,B,False
10133,2011-06,B1_last_month,72.647400,product,12,B,False
10135,2011-06,B1_last_month,94.145100,product,12,A,False
11001,2011-06,B1_last_month,204.598800,product,12,A,False
15030,2011-06,B1_last_month,7.413000,product,12,C,False
15034,2011-06,B1_last_month,390.665100,product,12,C,False
15036,2011-06,B1_last_month,2013.370800,product,12,A,False
15039,2011-06,B1_last_month,134.175300,product,12,B,False
15044A,2011-06,B1_last_month,77.836500,product,12,A,False
15044B,2011-06,B1_last_month,53.373600,product,12,A,False
15044C,2011-06,B1_last_month,25.945500,product,12,B,False
15044D,2011-06,B1_last_month,53.373600,product,12,A,False
15056BL,2011-06,B1_last_month,176.429400,product,12,A,False
15056N,2011-06,B1_last_month,226.837800,product,12,A,False
15056P,2011-06,B1_last_month,89.697300,product,12,A,False
15058A,2011-06,B1_last_month,9.636900,product,12,B,False
15058B,2011-06,B1_last_month,11.119500,product,12,B,False
15058C,2011-06,B1_last_month,4.447800,product,12,B,False
15060B,2011-06,B1_last_month,13.343400,product,12,A,False
16008,2011-06,B1_last_month,28.169400,product,12,C,False
16010,2011-06,B1_last_month,8.895600,product,7,C,False
16011,2011-06,B1_last_month,127.503600,product,12,C,False
16012,2011-06,B1_last_month,131.210100,product,12,C,False
16014,2011-06,B1_last_month,1874.006400,product,12,A,False
16015,2011-06,B1_last_month,153.449100,product,12,C,False
16016,2011-06,B1_last_month,40.771500,product,12,B,False
16020C,2011-06,B1_last_month,3.706500,product,12,C,False
16033,2011-06,B1_last_month,621.950700,product,12,B,False
16045,2011-06,B1_last_month,148.260000,product,12,C,False
16046,2011-06,B1_last_month,14.084700,product,12,B,False
16048,2011-06,B1_last_month,100.075500,product,12,C,False
16049,2011-06,B1_last_month,106.747200,product,12,C,False
16052,2011-06,B1_last_month,54.114900,product,12,C,False
16054,2011-06,B1_last_month,0.741300,product,12,C,False
16151A,2011-06,B1_last_month,0.000000,product,6,C,True
16156L,2011-06,B1_last_month,37.065000,product,12,C,False
16156S,2011-06,B1_last_month,463.312500,product,12,A,False
16161G,2011-06,B1_last_month,37.065000,product,12,C,False
16161M,2011-06,B1_last_month,18.532500,product,12,C,False
16161P,2011-06,B1_last_month,519.651300,product,12,A,False
16161U,2011-06,B1_last_month,352.117500,product,12,B,False
16162L,2011-06,B1_last_month,0.741300,product,12,C,False
16168M,2011-06,B1_last_month,18.532500,product,12,C,False
16169K,2011-06,B1_last_month,92.662500,product,12,C,False
16169M,2011-06,B1_last_month,44.478000,product,12,C,False
16169N,2011-06,B1_last_month,37.065000,product,12,C,False
16169P,2011-06,B1_last_month,55.597500,product,12,C,False
16202A,2011-06,B1_last_month,5.189100,product,12,C,False
16202B,2011-06,B1_last_month,6.671700,product,12,C,False
16202E,2011-06,B1_last_month,0.000000,product,12,C,True
16206B,2011-06,B1_last_month,1.482600,product,12,C,False
16207A,2011-06,B1_last_month,5.189100,product,12,C,False
16207B,2011-06,B1_last_month,1.482600,product,12,C,False
16216,2011-06,B1_last_month,88.214700,product,12,C,False
16218,2011-06,B1_last_month,106.747200,product,12,C,False
16219,2011-06,B1_last_month,39.288900,product,12,C,False
16225,2011-06,B1_last_month,34.099800,product,12,C,False
16235,2011-06,B1_last_month,220.166100,product,12,B,False
16236,2011-06,B1_last_month,108.229800,product,12,C,False
16237,2011-06,B1_last_month,384.734700,product,12,B,False
16238,2011-06,B1_last_month,83.766900,product,12,C,False
16244B,2011-06,B1_last_month,0.000000,product,10,C,True
16248B,2011-06,B1_last_month,2.965200,product,8,C,False
16258A,2011-06,B1_last_month,49.667100,product,12,C,False
16259,2011-06,B1_last_month,160.120800,product,12,C,False
17001,2011-06,B1_last_month,102.299400,product,12,C,False
17003,2011-06,B1_last_month,4285.455300,product,12,A,False
17007B,2011-06,B1_last_month,1.482600,product,12,C,False
17011F,2011-06,B1_last_month,13.343400,product,12,C,False
17012A,2011-06,B1_last_month,25.204200,product,12,C,False
17012B,2011-06,B1_last_month,35.582400,product,12,C,False
17012C,2011-06,B1_last_month,7.413000,product,12,C,False
17012D,2011-06,B1_last_month,9.636900,product,12,C,False
17012E,2011-06,B1_last_month,0.741300,product,12,C,False
17012F,2011-06,B1_last_month,7.413000,product,12,C,False
17013D,2011-06,B1_last_month,120.831900,product,12,C,False
