rank,stock_code,cum_product_share,revenue,revenue_share,cum_revenue_share,abc_class
1,22423,0.0002,324596.2000,0.0171,0.0171,A
2,85123A,0.0004,258783.2000,0.0136,0.0307,A
3,85099B,0.0006,180454.0800,0.0095,0.0401,A
4,47566,0.0008,147399.8000,0.0077,0.0479,A
5,84879,0.0011,127161.7500,0.0067,0.0546,A
6,22086,0.0013,110892.5300,0.0058,0.0604,A
7,23166,0.0015,81448.2100,0.0043,0.0647,A
8,79321,0.0017,77901.1400,0.0041,0.0688,A
9,22386,0.0019,75398.3000,0.0040,0.0727,A
10,22197,0.0021,74096.4000,0.0039,0.0766,A
11,20725,0.0023,70329.9400,0.0037,0.0803,A
12,84347,0.0025,68604.7200,0.0036,0.0839,A
13,85099F,0.0028,68424.5600,0.0036,0.0875,A
14,48138,0.0030,66393.8200,0.0035,0.0910,A
15,20685,0.0032,65761.4100,0.0035,0.0945,A
16,21843,0.0034,63781.9000,0.0034,0.0978,A
17,22502,0.0036,60880.3000,0.0032,0.1010,A
18,21931,0.0038,60693.1100,0.0032,0.1042,A
19,21621,0.0040,60005.9100,0.0032,0.1074,A
20,15056N,0.0042,59632.0100,0.0031,0.1105,A
21,21137,0.0044,59606.8600,0.0031,0.1136,A
22,85099C,0.0047,58506.8300,0.0031,0.1167,A
23,23084,0.0049,57241.5700,0.0030,0.1197,A
24,22411,0.0051,56235.5500,0.0030,0.1227,A
25,22910,0.0053,55892.0900,0.0029,0.1256,A
26,22114,0.0055,55454.3400,0.0029,0.1285,A
27,22112,0.0057,54511.7000,0.0029,0.1314,A
28,82484,0.0059,54403.1500,0.0029,0.1342,A
29,22470,0.0061,53165.0300,0.0028,0.1370,A
30,20914,0.0064,52028.0700,0.0027,0.1398,A
31,22139,0.0066,51699.5600,0.0027,0.1425,A
32,21212,0.0068,51318.2800,0.0027,0.1452,A
33,22178,0.0070,50498.1600,0.0027,0.1478,A
34,22090,0.0072,50091.5200,0.0026,0.1505,A
35,21733,0.0074,49584.1500,0.0026,0.1531,A
36,21929,0.0076,49261.5400,0.0026,0.1557,A
37,22469,0.0078,48637.3300,0.0026,0.1582,A
38,21181,0.0080,48603.0200,0.0026,0.1608,A
39,21232,0.0083,48506.3700,0.0025,0.1633,A
40,48194,0.0085,48438.8000,0.0025,0.1659,A
41,84946,0.0087,48239.6600,0.0025,0.1684,A
42,15056BL,0.0089,48213.5400,0.0025,0.1709,A
43,22189,0.0091,47864.3100,0.0025,0.1734,A
44,22111,0.0093,47632.0300,0.0025,0.1760,A
45,21731,0.0095,47332.9900,0.0025,0.1784,A
46,82494L,0.0097,46125.4000,0.0024,0.1809,A
47,21754,0.0100,46115.0900,0.0024,0.1833,A
48,48187,0.0102,46082.3000,0.0024,0.1857,A
49,21523,0.0104,45639.5700,0.0024,0.1881,A
50,48185,0.0106,45616.5900,0.0024,0.1905,A
51,21928,0.0108,45609.4600,0.0024,0.1929,A
52,20727,0.0110,44974.6800,0.0024,0.1953,A
53,21623,0.0112,44803.8800,0.0024,0.1976,A
54,22457,0.0114,44616.8700,0.0023,0.2000,A
55,22138,0.0116,44529.9000,0.0023,0.2023,A
56,84078A,0.0119,43666.8200,0.0023,0.2046,A
57,22326,0.0121,43451.1400,0.0023,0.2069,A
58,21175,0.0123,43126.5800,0.0023,0.2091,A
59,71477,0.0125,43052.5100,0.0023,0.2114,A
60,22355,0.0127,43026.0400,0.0023,0.2137,A
61,22383,0.0129,42859.6500,0.0023,0.2159,A
62,23298,0.0131,42383.3200,0.0022,0.2182,A
63,84997D,0.0133,42378.9400,0.0022,0.2204,A
64,20728,0.0136,42005.3400,0.0022,0.2226,A
65,21915,0.0138,41474.8400,0.0022,0.2248,A
66,82482,0.0140,41345.6600,0.0022,0.2269,A
67,84029E,0.0142,41202.3900,0.0022,0.2291,A
68,23203,0.0144,40678.7600,0.0021,0.2312,A
69,22083,0.0146,39823.5500,0.0021,0.2333,A
70,20713,0.0148,39611.6900,0.0021,0.2354,A
71,84997B,0.0150,38345.7100,0.0020,0.2374,A
72,20726,0.0152,38118.8600,0.0020,0.2394,A
73,82486,0.0155,37260.9200,0.0020,0.2414,A
74,22699,0.0157,37201.7700,0.0020,0.2433,A
75,22629,0.0159,37171.0800,0.0020,0.2453,A
76,22960,0.0161,37124.8300,0.0020,0.2473,A
77,85066,0.0163,37059.2400,0.0019,0.2492,A
78,20712,0.0165,37055.9900,0.0019,0.2511,A
79,22720,0.0167,37020.7400,0.0019,0.2531,A
80,23284,0.0169,36575.4200,0.0019,0.2550,A
81,21166,0.0172,36305.8100,0.0019,0.2569,A
82,21485,0.0174,36216.2800,0.0019,0.2588,A
83,22328,0.0176,35851.7100,0.0019,0.2607,A
84,21524,0.0178,35624.4100,0.0019,0.2626,A
85,84997C,0.0180,35167.9500,0.0018,0.2644,A
86,21755,0.0182,34598.6800,0.0018,0.2662,A
87,22379,0.0184,34254.7500,0.0018,0.2680,A
88,22384,0.0186,33825.5000,0.0018,0.2698,A
89,22382,0.0188,33812.8700,0.0018,0.2716,A
90,20724,0.0191,33766.8500,0.0018,0.2734,A
91,22630,0.0193,32988.7200,0.0017,0.2751,A
92,15036,0.0195,32892.9600,0.0017,0.2768,A
93,22727,0.0197,32729.3700,0.0017,0.2786,A
94,22666,0.0199,32019.7300,0.0017,0.2802,A
95,22385,0.0201,31746.7200,0.0017,0.2819,A
96,22077,0.0203,30879.3600,0.0016,0.2835,A
97,85014B,0.0205,30859.3200,0.0016,0.2852,A
98,48184,0.0208,30774.1900,0.0016,0.2868,A
99,22726,0.0210,30774.0900,0.0016,0.2884,A
100,22501,0.0212,30339.3600,0.0016,0.2900,A
101,23199,0.0214,29878.1900,0.0016,0.2916,A
102,85152,0.0216,29718.4500,0.0016,0.2931,A
103,20679,0.0218,29689.2400,0.0016,0.2947,A
104,22865,0.0220,29662.0300,0.0016,0.2962,A
105,23245,0.0222,29439.2600,0.0015,0.2978,A
106,47590B,0.0224,29411.8200,0.0015,0.2993,A
107,22697,0.0227,29409.4200,0.0015,0.3009,A
108,22659,0.0229,29334.8200,0.0015,0.3024,A
109,21217,0.0231,29256.1000,0.0015,0.3039,A
110,21479,0.0233,29017.1400,0.0015,0.3055,A
111,22622,0.0235,28989.4200,0.0015,0.3070,A
112,22158,0.0237,28817.4400,0.0015,0.3085,A
113,48188,0.0239,28630.8500,0.0015,0.3100,A
114,82483,0.0241,28251.4300,0.0015,0.3115,A
115,84978,0.0244,28213.1200,0.0015,0.3130,A
116,20971,0.0246,28122.8100,0.0015,0.3145,A
117,84029G,0.0248,28042.3500,0.0015,0.3159,A
118,21977,0.0250,27938.2000,0.0015,0.3174,A
119,22492,0.0252,27623.8700,0.0015,0.3189,A
120,47566B,0.0254,27559.8000,0.0014,0.3203,A
121,22467,0.0256,27369.4200,0.0014,0.3217,A
122,22752,0.0258,27265.8000,0.0014,0.3232,A
123,22188,0.0260,27234.6700,0.0014,0.3246,A
124,82583,0.0263,27169.1500,0.0014,0.3260,A
125,72741,0.0265,27087.6300,0.0014,0.3275,A
126,22866,0.0267,27042.9700,0.0014,0.3289,A
127,84991,0.0269,26955.9100,0.0014,0.3303,A
128,21930,0.0271,26749.7900,0.0014,0.3317,A
129,20719,0.0273,26736.0700,0.0014,0.3331,A
130,71459,0.0275,26634.1900,0.0014,0.3345,A
131,22624,0.0277,26600.7400,0.0014,0.3359,A
132,23201,0.0280,26588.0500,0.0014,0.3373,A
133,20750,0.0282,26486.8700,0.0014,0.3387,A
134,22734,0.0284,26246.0200,0.0014,0.3401,A
135,22149,0.0286,26218.9700,0.0014,0.3414,A
136,48111,0.0288,25842.8700,0.0014,0.3428,A
137,20711,0.0290,25715.0000,0.0014,0.3442,A
138,22551,0.0292,25504.8400,0.0013,0.3455,A
139,37503,0.0294,25428.3300,0.0013,0.3468,A
140,22835,0.0296,25413.7600,0.0013,0.3482,A
141,22507,0.0299,25280.0400,0.0013,0.3495,A
142,22087,0.0301,25253.4000,0.0013,0.3508,A
143,21080,0.0303,25224.2700,0.0013,0.3522,A
144,21108,0.0305,25186.8500,0.0013,0.3535,A
145,22961,0.0307,25156.8700,0.0013,0.3548,A
146,22084,0.0309,25131.1100,0.0013,0.3561,A
147,84755,0.0311,25072.5700,0.0013,0.3574,A
148,21527,0.0313,24968.4700,0.0013,0.3587,A
149,82600,0.0316,24870.2600,0.0013,0.3601,A
150,21481,0.0318,24847.7800,0.0013,0.3614,A
151,23355,0.0320,24744.1200,0.0013,0.3627,A
152,22867,0.0322,24571.7500,0.0013,0.3640,A
153,20972,0.0324,24509.5800,0.0013,0.3652,A
154,23173,0.0326,24402.5700,0.0013,0.3665,A
155,84836,0.0328,24195.8200,0.0013,0.3678,A
156,48173C,0.0330,24191.1800,0.0013,0.3691,A
157,21314,0.0332,24146.1300,0.0013,0.3703,A
158,47590A,0.0335,24141.6500,0.0013,0.3716,A
159,84077,0.0337,24066.4400,0.0013,0.3729,A
160,22722,0.0339,23960.8000,0.0013,0.3741,A
161,21231,0.0341,23913.6600,0.0013,0.3754,A
162,21955,0.0343,23622.1800,0.0012,0.3766,A
163,22698,0.0345,23510.3600,0.0012,0.3779,A
164,22728,0.0347,23421.3000,0.0012,0.3791,A
165,22171,0.0349,23369.8300,0.0012,0.3803,A
166,23243,0.0352,23121.2400,0.0012,0.3815,A
167,22605,0.0354,23051.7300,0.0012,0.3827,A
168,84406B,0.0356,22957.0000,0.0012,0.3840,A
169,21790,0.0358,22917.3800,0.0012,0.3852,A
170,21936,0.0360,22606.4900,0.0012,0.3863,A
171,22554,0.0362,22522.2700,0.0012,0.3875,A
