stock_code,selling_months,mean_price,std_price,price_cv
10002,17,0.8398,0.0660,0.0786
10002R,2,5.1150,0.0778,0.0152
10080,11,0.5991,0.2402,0.4010
10109,1,0.4200,0.0000,
10120,21,0.2216,0.0479,0.2162
10123C,14,0.6231,0.2178,0.3495
10123G,6,0.6524,0.6032,0.9247
10124A,12,0.4200,0.0000,0.0000
10124G,9,0.4433,0.0700,0.1579
10125,23,0.8793,0.1982,0.2254
10133,22,0.7751,0.1596,0.2060
10134,12,1.2233,0.0685,0.0560
10135,25,1.2202,0.2165,0.1775
10138,5,0.4313,0.0228,0.0529
11001,25,1.6870,0.2546,0.1509
15030,17,0.2900,0.0000,0.0000
15034,25,0.2081,0.1571,0.7549
15036,25,0.7858,0.1290,0.1642
15039,25,1.0283,0.3046,0.2962
15044A,25,3.1671,0.4841,0.1528
15044B,21,3.2202,0.7168,0.2226
15044C,25,3.3839,0.7119,0.2104
15044D,25,3.1790,0.6988,0.2198
15056BL,25,5.6395,0.6287,0.1115
15056N,25,5.5876,0.6528,0.1168
15056P,25,5.8621,0.6868,0.1172
15058A,18,8.2984,1.6528,0.1992
15058B,20,9.4192,4.1642,0.4421
15058C,20,8.5804,2.9601,0.3450
15059A,1,3.0786,0.0000,
15060B,24,4.5289,0.8612,0.1902
16008,17,0.1950,0.0680,0.3485
16010,4,0.1200,0.0000,0.0000
16011,24,0.2097,0.0012,0.0059
16012,22,0.2092,0.0036,0.0170
16014,24,0.3612,0.0471,0.1305
16015,21,0.4759,0.0431,0.0905
16016,25,0.8260,0.0391,0.0473
16020C,14,0.8474,0.0067,0.0079
16033,15,0.1129,0.0122,0.1076
16043,9,0.3067,0.1709,0.5572
16044,2,0.2400,0.2545,1.0604
16045,14,0.0800,0.0415,0.5189
16046,22,0.7131,0.3012,0.4224
16047,10,0.8090,0.4567,0.5646
16048,25,0.3202,0.2396,0.7482
16049,11,0.2570,0.1321,0.5141
16050,3,0.3753,0.1536,0.4093
16051,3,0.3105,0.2175,0.7005
16052,15,0.5622,0.2182,0.3881
16053,8,0.1650,0.0833,0.5050
16054,12,0.2450,0.1545,0.6305
16119,1,0.4788,0.0000,
16151A,3,2.9167,1.4434,0.4949
16156L,19,0.4200,0.0000,0.0000
16156N,7,0.4200,0.0000,0.0000
16156S,25,0.4004,0.0181,0.0453
16161C,1,0.1000,0.0000,
16161E,3,0.1000,0.0000,0.0000
16161G,17,0.1000,0.0000,0.0000
16161M,12,0.4189,0.0038,0.0092
16161P,24,0.4141,0.0128,0.0309
16161U,25,0.4129,0.0142,0.0344
16162L,13,0.6398,0.3824,0.5977
16162M,7,0.4200,0.0000,0.0000
16168M,24,0.4627,0.1480,0.3198
16168S,3,0.1799,0.1522,0.8463
16169A,1,0.4200,0.0000,
16169C,4,0.4200,0.0000,0.0000
16169D,1,0.4200,0.0000,
16169E,6,0.4172,0.0045,0.0107
16169F,5,0.4200,0.0000,0.0000
16169G,1,0.4200,0.0000,
16169K,13,0.3973,0.0649,0.1633
16169M,21,0.4090,0.0502,0.1227
16169N,12,0.3981,0.0662,0.1663
16169P,13,0.3935,0.0689,0.1751
16192,1,4.3000,0.0000,
16201A,6,3.9482,4.7160,1.1945
16201B,1,2.3853,0.0000,
16202A,11,3.1896,2.6708,0.8373
16202B,12,3.7044,3.4204,0.9233
16202C,6,4.3620,3.9241,0.8996
16202E,9,3.4643,2.0544,0.5930
16206B,8,1.2420,0.0227,0.0183
16207A,18,2.9889,0.2306,0.0771
16207B,10,2.8484,1.1437,0.4015
16212,11,0.7495,0.1790,0.2388
16215,1,0.6500,0.0000,
16216,23,0.1504,0.0696,0.4630
16218,23,0.3883,0.5940,1.5296
16219,22,0.2651,0.1745,0.6580
16225,24,1.1897,0.3041,0.2556
16235,25,0.2437,0.0410,0.1681
16236,25,0.2482,0.0614,0.2472
16237,25,0.2174,0.0127,0.0585
16238,25,0.2372,0.0293,0.1234
16239,4,2.0702,0.9256,0.4471
16243B,4,4.9525,2.0026,0.4044
16244A,4,3.2964,1.1052,0.3353
16244B,8,2.9946,1.4559,0.4862
16245A,5,1.2500,0.0000,0.0000
