stock_code,abc_class,revenue_share,cum_share,abc_source
10002,A,0.000522,0.638014,training_window
10002R,C,0.000002,0.999850,training_window
10080,C,0.000001,0.999935,training_window
10109,C,0.000000,0.999999,training_window
10120,C,0.000009,0.997299,training_window
10123C,C,0.000019,0.991940,training_window
10123G,C,0.000012,0.995544,training_window
10124A,C,0.000002,0.999818,training_window
10124G,C,0.000001,0.999944,training_window
10125,B,0.000089,0.928347,training_window
10133,B,0.000093,0.924729,training_window
10134,C,0.000054,0.963280,training_window
10135,A,0.000269,0.778424,training_window
10138,C,0.000008,0.997490,training_window
11001,A,0.000420,0.682581,training_window
15030,C,0.000003,0.999689,training_window
15034,C,0.000063,0.955180,training_window
15036,A,0.001823,0.271460,training_window
15039,B,0.000225,0.811237,training_window
15044A,A,0.000941,0.470368,training_window
15044B,A,0.000334,0.732880,training_window
15044C,B,0.000190,0.836391,training_window
15044D,A,0.000265,0.783502,training_window
15056BL,A,0.002825,0.158973,training_window
15056N,A,0.003437,0.107452,training_window
15056P,A,0.000753,0.528251,training_window
15058A,B,0.000166,0.853873,training_window
15058B,B,0.000174,0.849141,training_window
15058C,B,0.000156,0.861586,training_window
15059A,B,0.000118,0.901294,training_window
15060B,A,0.000410,0.691308,training_window
16008,C,0.000009,0.997447,training_window
16010,C,0.000000,0.999990,training_window
16011,C,0.000045,0.973006,training_window
16012,C,0.000039,0.978927,training_window
16014,A,0.000546,0.628449,training_window
16015,C,0.000050,0.967283,training_window
16016,B,0.000105,0.913150,training_window
16020C,C,0.000005,0.998729,training_window
16033,B,0.000116,0.903049,training_window
16043,C,0.000013,0.995418,training_window
16044,C,0.000029,0.985444,training_window
16045,C,0.000006,0.998270,training_window
16046,B,0.000090,0.927455,training_window
16047,B,0.000079,0.937138,training_window
16048,C,0.000030,0.985031,training_window
16049,C,0.000042,0.975608,training_window
16050,C,0.000003,0.999366,training_window
16051,C,0.000006,0.998315,training_window
16052,C,0.000016,0.994103,training_window
16053,C,0.000014,0.994883,training_window
16054,C,0.000001,0.999864,training_window
16119,C,0.000010,0.996746,training_window
16151A,C,0.000005,0.998643,training_window
16156L,C,0.000022,0.989984,training_window
16156N,C,0.000047,0.971092,training_window
16156S,A,0.000409,0.692536,training_window
16161C,C,0.000003,0.999393,training_window
16161E,C,0.000006,0.998543,training_window
16161G,C,0.000003,0.999543,training_window
16161M,C,0.000033,0.982689,training_window
16161P,A,0.000264,0.784296,training_window
16161U,B,0.000233,0.807355,training_window
16162L,C,0.000042,0.975819,training_window
16162M,C,0.000002,0.999790,training_window
16168M,C,0.000032,0.983400,training_window
16168S,C,0.000010,0.996949,training_window
16169A,C,0.000001,0.999946,training_window
16169C,C,0.000043,0.975186,training_window
16169D,C,0.000008,0.997725,training_window
16169E,C,0.000000,0.000000,default_no_train_history
16169F,C,0.000031,0.984368,training_window
16169G,C,0.000001,0.999946,training_window
16169K,C,0.000048,0.969629,training_window
16169M,C,0.000040,0.978224,training_window
16169N,C,0.000047,0.970483,training_window
16169P,C,0.000040,0.977546,training_window
16192,C,0.000001,0.999919,training_window
16201A,C,0.000016,0.993756,training_window
16201B,C,0.000006,0.998408,training_window
16202A,C,0.000022,0.990225,training_window
16202B,C,0.000040,0.978025,training_window
16202C,C,0.000017,0.992955,training_window
16202E,C,0.000012,0.995630,training_window
16206B,C,0.000009,0.997370,training_window
16207A,C,0.000028,0.986383,training_window
16207B,C,0.000031,0.984214,training_window
16212,C,0.000022,0.990442,training_window
16215,C,0.000000,0.999981,training_window
16216,C,0.000014,0.994728,training_window
16218,C,0.000017,0.993364,training_window
16219,C,0.000011,0.996399,training_window
16225,C,0.000064,0.953468,training_window
16235,B,0.000076,0.941795,training_window
16236,C,0.000031,0.984460,training_window
16237,B,0.000126,0.894367,training_window
16238,C,0.000028,0.985990,training_window
16239,C,0.000037,0.980099,training_window
16243B,C,0.000033,0.982590,training_window
16244A,C,0.000036,0.980792,training_window
16244B,C,0.000058,0.959926,training_window
16245A,C,0.000001,0.999914,training_window
16248B,C,0.000007,0.998146,training_window
16254,C,0.000020,0.991571,training_window
16256B,C,0.000017,0.992885,training_window
16256C,C,0.000005,0.998697,training_window
16258A,C,0.000019,0.991979,training_window
16258B,C,0.000017,0.993397,training_window
16259,C,0.000040,0.977826,training_window
17001,C,0.000023,0.989627,training_window
17003,A,0.000841,0.498814,training_window
17007B,C,0.000003,0.999369,training_window
17011A,C,0.000014,0.995131,training_window
17011B,C,0.000001,0.999943,training_window
17011C,C,0.000017,0.993347,training_window
17011D,C,0.000010,0.996587,training_window
17011E,C,0.000006,0.998426,training_window
17011F,C,0.000025,0.988132,training_window
17012A,C,0.000043,0.974456,training_window
17012B,C,0.000042,0.976154,training_window
17012C,C,0.000052,0.965606,training_window
17012D,C,0.000016,0.993852,training_window
17012E,C,0.000022,0.989806,training_window
17012F,C,0.000020,0.991109,training_window
17013B,C,0.000017,0.993414,training_window
17013C,C,0.000007,0.998112,training_window
17013D,C,0.000043,0.975100,training_window
17013F,C,0.000002,0.999770,training_window
17014A,C,0.000012,0.995606,training_window
17014C,C,0.000003,0.999443,training_window
17014D,C,0.000015,0.994211,training_window
17014E,C,0.000003,0.999621,training_window
17014F,C,0.000002,0.999802,training_window
17021,C,0.000057,0.960442,training_window
17027A,C,0.000006,0.998302,training_window
17028J,C,0.000000,0.999996,training_window
17033,C,0.000065,0.952369,training_window
17038,C,0.000012,0.995858,training_window
17039,C,0.000063,0.954991,training_window
17061,C,0.000000,0.999998,training_window
17084A,C,0.000006,0.998491,training_window
17084G,C,0.000001,0.999947,training_window
17084J,C,0.000006,0.998276,training_window
17084N,C,0.000034,0.982053,training_window
17084P,C,0.000011,0.996090,training_window
17084R,B,0.000128,0.891321,training_window
17090A,C,0.000012,0.995987,training_window
17090D,C,0.000007,0.998225,training_window
17091A,B,0.000097,0.921130,training_window
17091B,C,0.000024,0.988771,training_window
17091F,C,0.000002,0.999760,training_window
17091J,B,0.000127,0.892852,training_window
17096,B,0.000080,0.936341,training_window
17107D,C,0.000045,0.972513,training_window
17108D,C,0.000011,0.996192,training_window
17109A,C,0.000025,0.988232,training_window
17109B,C,0.000067,0.950649,training_window
17109C,C,0.000050,0.967432,training_window
17109D,C,0.000045,0.972558,training_window
17129C,C,0.000004,0.999134,training_window
17129D,B,0.000102,0.916361,training_window
17129F,B,0.000103,0.915338,training_window
17136A,C,0.000003,0.999540,training_window
17164B,C,0.000049,0.968613,training_window
17164D,C,0.000034,0.982357,training_window
17165B,C,0.000057,0.960782,training_window
17165D,C,0.000051,0.966172,training_window
17174,C,0.000001,0.999938,training_window
17178,C,0.000012,0.995906,training_window
17181,C,0.000048,0.969195,training_window
17191A,C,0.000008,0.997605,training_window
18007,C,0.000063,0.954233,training_window
18010,C,0.000002,0.999725,training_window
18094C,C,0.000035,0.981221,training_window
18096C,C,0.000026,0.987903,training_window
18097A,C,0.000003,0.999587,training_window
18097B,C,0.000001,0.999876,training_window
18097C,A,0.000273,0.775175,training_window
18098A,C,0.000000,0.999977,training_window
18098B,C,0.000001,0.999956,training_window
18098C,A,0.000351,0.723687,training_window
20615,C,0.000063,0.954359,training_window
