model,forecast_origin,target_month,n_rows,wmape,bias
B1_last_month,2010-05,2010-06,3670,0.6028,-0.0203
B1_last_month,2010-06,2010-07,3514,0.6136,0.2369
B1_last_month,2010-07,2010-08,3517,0.6502,-0.2728
B1_last_month,2010-08,2010-09,3507,0.4781,-0.1299
B1_last_month,2010-09,2010-10,3462,0.6575,-0.0401
B1_last_month,2010-10,2010-11,3495,0.4866,-0.1339
B1_last_month,2010-11,2010-12,3514,1.3383,1.0342
B1_last_month,2010-12,2011-01,3476,0.8557,0.1530
B1_last_month,2011-01,2011-02,3450,1.0193,0.3914
B1_last_month,2011-02,2011-03,3393,0.5566,-0.2336
B1_last_month,2011-03,2011-04,3367,0.7762,0.2537
B1_last_month,2011-04,2011-05,3345,0.6028,-0.1539
B1_last_month,2011-05,2011-06,3284,0.6099,0.0902
B1_last_month,2011-06,2011-07,3289,0.5490,0.0033
B1_last_month,2011-07,2011-08,3310,0.5931,-0.0310
B1_last_month,2011-08,2011-09,3324,0.5698,-0.2336
B1_last_month,2011-09,2011-10,3373,0.5524,-0.0486
B1_last_month,2011-10,2011-11,3388,0.5101,-0.1644
B2_ma3,2010-05,2010-06,3670,0.6601,0.0625
B2_ma3,2010-06,2010-07,3514,0.5922,0.1851
B2_ma3,2010-07,2010-08,3517,0.6871,-0.1819
B2_ma3,2010-08,2010-09,3507,0.5916,-0.2528
B2_ma3,2010-09,2010-10,3462,0.6558,-0.2361
B2_ma3,2010-10,2010-11,3495,0.5895,-0.2195
B2_ma3,2010-11,2010-12,3514,1.1822,0.8042
B2_ma3,2010-12,2011-01,3476,1.3043,0.8288
B2_ma3,2011-01,2011-02,3450,1.1631,0.7612
B2_ma3,2011-02,2011-03,3393,0.6966,-0.0718
B2_ma3,2011-03,2011-04,3367,0.7632,0.1615
B2_ma3,2011-04,2011-05,3345,0.5426,-0.1140
B2_ma3,2011-05,2011-06,3284,0.5883,-0.0070
B2_ma3,2011-06,2011-07,3289,0.5356,-0.0604
B2_ma3,2011-07,2011-08,3310,0.5437,-0.0437
B2_ma3,2011-08,2011-09,3324,0.5395,-0.2664
B2_ma3,2011-09,2011-10,3373,0.5732,-0.2256
B2_ma3,2011-10,2011-11,3388,0.5207,-0.2767
B3_seasonal_naive,2010-11,2010-12,2561,1.1857,0.6452
B3_seasonal_naive,2010-12,2011-01,2701,1.1348,0.4147
B3_seasonal_naive,2011-01,2011-02,2744,1.2276,0.6470
B3_seasonal_naive,2011-02,2011-03,2857,1.0696,0.5462
B3_seasonal_naive,2011-03,2011-04,2830,1.0690,0.4708
B3_seasonal_naive,2011-04,2011-05,2819,0.8945,0.2873
B3_seasonal_naive,2011-05,2011-06,2734,0.9492,0.4278
B3_seasonal_naive,2011-06,2011-07,2693,0.8254,0.1604
B3_seasonal_naive,2011-07,2011-08,2722,1.0823,0.4714
B3_seasonal_naive,2011-08,2011-09,2787,0.9226,0.3464
B3_seasonal_naive,2011-09,2011-10,2817,0.8890,0.3734
B3_seasonal_naive,2011-10,2011-11,2776,0.7889,0.3274
M1_linear,2010-05,2010-06,3670,0.7063,0.1631
M1_linear,2010-06,2010-07,3514,0.5635,0.0399
M1_linear,2010-07,2010-08,3517,0.6786,-0.1871
M1_linear,2010-08,2010-09,3507,0.7800,-0.0301
M1_linear,2010-09,2010-10,3462,0.5989,-0.2323
M1_linear,2010-10,2010-11,3495,0.6237,0.0196
M1_linear,2010-11,2010-12,3514,1.9338,1.7167
M1_linear,2010-12,2011-01,3476,0.9115,0.1788
M1_linear,2011-01,2011-02,3450,0.7788,0.2121
M1_linear,2011-02,2011-03,3393,0.5550,-0.2660
M1_linear,2011-03,2011-04,3367,0.7049,0.0517
M1_linear,2011-04,2011-05,3345,0.5271,-0.2242
M1_linear,2011-05,2011-06,3284,0.5901,-0.0548
M1_linear,2011-06,2011-07,3289,0.5300,-0.1141
M1_linear,2011-07,2011-08,3310,0.5775,-0.0349
M1_linear,2011-08,2011-09,3324,0.5602,-0.2468
M1_linear,2011-09,2011-10,3373,0.5873,-0.1743
M1_linear,2011-10,2011-11,3388,0.5617,-0.1736
M2_gbm_poisson,2010-05,2010-06,3670,0.5474,-0.0730
M2_gbm_poisson,2010-06,2010-07,3514,0.6103,0.2402
M2_gbm_poisson,2010-07,2010-08,3517,0.6231,-0.2942
M2_gbm_poisson,2010-08,2010-09,3507,0.6770,-0.2089
M2_gbm_poisson,2010-09,2010-10,3462,0.6728,0.0099
M2_gbm_poisson,2010-10,2010-11,3495,0.5159,-0.0345
M2_gbm_poisson,2010-11,2010-12,3514,1.5911,1.3417
M2_gbm_poisson,2010-12,2011-01,3476,1.1007,0.6597
M2_gbm_poisson,2011-01,2011-02,3450,0.7231,0.1123
M2_gbm_poisson,2011-02,2011-03,3393,0.5269,-0.1715
M2_gbm_poisson,2011-03,2011-04,3367,0.7239,0.1829
M2_gbm_poisson,2011-04,2011-05,3345,0.5361,-0.1359
M2_gbm_poisson,2011-05,2011-06,3284,0.5674,0.0933
M2_gbm_poisson,2011-06,2011-07,3289,0.4659,-0.0580
M2_gbm_poisson,2011-07,2011-08,3310,0.5649,0.0730
M2_gbm_poisson,2011-08,2011-09,3324,0.5293,-0.1355
M2_gbm_poisson,2011-09,2011-10,3373,0.5752,0.0896
M2_gbm_poisson,2011-10,2011-11,3388,0.4884,-0.0309
M3_gbm_squared,2010-05,2010-06,3670,0.6303,0.0161
M3_gbm_squared,2010-06,2010-07,3514,0.6413,0.2807
M3_gbm_squared,2010-07,2010-08,3517,0.6489,-0.2503
M3_gbm_squared,2010-08,2010-09,3507,0.7017,-0.1452
M3_gbm_squared,2010-09,2010-10,3462,0.6979,0.0058
M3_gbm_squared,2010-10,2010-11,3495,0.5287,-0.0256
M3_gbm_squared,2010-11,2010-12,3514,1.6792,1.4369
M3_gbm_squared,2010-12,2011-01,3476,1.2112,0.8130
M3_gbm_squared,2011-01,2011-02,3450,0.7517,0.1672
M3_gbm_squared,2011-02,2011-03,3393,0.5824,-0.1475
M3_gbm_squared,2011-03,2011-04,3367,0.7849,0.2941
M3_gbm_squared,2011-04,2011-05,3345,0.5480,-0.1206
M3_gbm_squared,2011-05,2011-06,3284,0.5760,0.0844
M3_gbm_squared,2011-06,2011-07,3289,0.4927,-0.0098
M3_gbm_squared,2011-07,2011-08,3310,0.5812,0.0731
M3_gbm_squared,2011-08,2011-09,3324,0.5499,-0.1274
M3_gbm_squared,2011-09,2011-10,3373,0.5735,0.0446
M3_gbm_squared,2011-10,2011-11,3388,0.4888,-0.0255
M4_gbm_absolute,2010-05,2010-06,3670,0.4975,-0.3219
M4_gbm_absolute,2010-06,2010-07,3514,0.4681,-0.0580
M4_gbm_absolute,2010-07,2010-08,3517,0.6143,-0.4259
M4_gbm_absolute,2010-08,2010-09,3507,0.6181,-0.4648
M4_gbm_absolute,2010-09,2010-10,3462,0.5709,-0.3245
M4_gbm_absolute,2010-10,2010-11,3495,0.4960,-0.2691
M4_gbm_absolute,2010-11,2010-12,3514,1.1509,0.8141
M4_gbm_absolute,2010-12,2011-01,3476,0.8005,0.1286
M4_gbm_absolute,2011-01,2011-02,3450,0.5993,-0.1704
M4_gbm_absolute,2011-02,2011-03,3393,0.5394,-0.4144
M4_gbm_absolute,2011-03,2011-04,3367,0.6108,-0.0544
M4_gbm_absolute,2011-04,2011-05,3345,0.5394,-0.3802
M4_gbm_absolute,2011-05,2011-06,3284,0.5016,-0.1972
M4_gbm_absolute,2011-06,2011-07,3289,0.4644,-0.2201
M4_gbm_absolute,2011-07,2011-08,3310,0.4853,-0.2290
M4_gbm_absolute,2011-08,2011-09,3324,0.5301,-0.3645
M4_gbm_absolute,2011-09,2011-10,3373,0.5153,-0.1848
M4_gbm_absolute,2011-10,2011-11,3388,0.4956,-0.2857
