model,policy,n_rows,total_excess,top_1pct_share,top_5pct_share
B1_last_month,forecast_only,16529,532116.000000,0.332018,0.709176
B1_last_month,forecast_plus_ss,16529,2136719.000000,0.201670,0.474085
B2_ma3,forecast_only,16529,446805.000000,0.285319,0.628296
B2_ma3,forecast_plus_ss,16529,2210581.000000,0.180693,0.434109
B3_seasonal_naive,forecast_only,16529,1363857.000000,0.279086,0.576365
B3_seasonal_naive,forecast_plus_ss,16529,2974648.000000,0.189363,0.438096
M1_linear,forecast_only,16529,426290.000000,0.197269,0.453543
M1_linear,forecast_plus_ss,16529,2170270.000000,0.145964,0.365529
M2_gbm_poisson,forecast_only,16529,600835.000000,0.248389,0.547365
M2_gbm_poisson,forecast_plus_ss,16529,2287053.000000,0.175887,0.421736
M3_gbm_squared,forecast_only,16529,653321.000000,0.233114,0.504241
M3_gbm_squared,forecast_plus_ss,16529,2404229.000000,0.181044,0.418050
M4_gbm_absolute,forecast_only,16529,271831.000000,0.276860,0.647476
M4_gbm_absolute,forecast_plus_ss,16529,1584019.000000,0.168364,0.443681
