model,scope,quarter,wmape,bias,mae,rmse,n_rows,sum_actual,sum_forecast,negative_share
B2_ma3,overall,all,0.442763,0.029852,166.241302,562.075994,16306,6122313.000000,6305077.000000,0.000000
B2_ma3,quarter,2010-Q3,0.438817,-0.093314,167.517512,627.786980,3350,1278856.000000,1159520.333333,0.000000
B2_ma3,quarter,2010-Q4,0.413584,0.005184,204.806143,691.151820,3310,1639106.000000,1647603.000000,0.000000
B2_ma3,quarter,2011-Q1,0.693069,0.428559,195.981476,571.981959,3329,941353.000000,1344778.666667,0.000000
B2_ma3,quarter,2011-Q2,0.369209,0.043627,114.110436,497.740458,3127,966453.000000,1008616.333333,0.000000
B2_ma3,quarter,2011-Q3,0.356635,-0.117224,144.950784,347.977158,3190,1296545.000000,1144558.666667,0.000000
M2_gbm_poisson,overall,all,0.405684,0.072070,152.319541,466.137188,16306,6122313.000000,6563549.938724,0.000000
M2_gbm_poisson,quarter,2010-Q3,0.466804,-0.120564,178.201672,703.822301,3350,1278856.000000,1124672.335166,0.000000
M2_gbm_poisson,quarter,2010-Q4,0.417545,0.270249,206.767612,543.243727,3310,1639106.000000,2082072.974419,0.000000
M2_gbm_poisson,quarter,2011-Q1,0.495379,0.182527,140.080151,336.113508,3329,941353.000000,1113175.099897,0.000000
M2_gbm_poisson,quarter,2011-Q2,0.337729,0.039125,104.380870,275.247030,3127,966453.000000,1004265.525298,0.000000
M2_gbm_poisson,quarter,2011-Q3,0.315932,-0.044103,128.407595,303.449188,3190,1296545.000000,1239364.003944,0.000000
