model,target_month,n_products,share_product,share_abc_group,share_global,median_sigma,share_zero_mad
B1_last_month,2011-06,3284,0.931790,0.068210,0.000000,22.609650,0.043544
B1_last_month,2011-07,3289,0.904530,0.095470,0.000000,20.756400,0.048039
B1_last_month,2011-08,3310,0.898187,0.101813,0.000000,19.273800,0.050151
B1_last_month,2011-09,3324,0.894705,0.105295,0.000000,18.161850,0.050241
B1_last_month,2011-10,3373,0.875185,0.124815,0.000000,17.791200,0.046250
B1_last_month,2011-11,3388,0.859799,0.140201,0.000000,17.791200,0.042798
B2_ma3,2011-06,3284,0.931790,0.068210,0.000000,28.169400,0.002436
B2_ma3,2011-07,3289,0.904530,0.095470,0.000000,25.698400,0.003040
B2_ma3,2011-08,3310,0.898187,0.101813,0.000000,23.968700,0.005136
B2_ma3,2011-09,3324,0.894705,0.105295,0.000000,22.733200,0.005716
B2_ma3,2011-10,3373,0.875185,0.124815,0.000000,21.744800,0.003558
B2_ma3,2011-11,3388,0.859799,0.140201,0.000000,21.250600,0.003542
B3_seasonal_naive,2011-06,3284,0.655603,0.344397,0.000000,25.204200,0.021315
B3_seasonal_naive,2011-07,3289,0.676193,0.323807,0.000000,23.721600,0.028580
B3_seasonal_naive,2011-08,3310,0.690030,0.309970,0.000000,22.980300,0.021752
B3_seasonal_naive,2011-09,3324,0.732250,0.267750,0.000000,22.239000,0.032190
B3_seasonal_naive,2011-10,3373,0.715980,0.284020,0.000000,20.756400,0.027868
B3_seasonal_naive,2011-11,3388,0.702774,0.297226,0.000000,19.273800,0.025974
M1_linear,2011-06,3284,0.931790,0.068210,0.000000,37.921582,0.007917
M1_linear,2011-07,3289,0.904530,0.095470,0.000000,35.521484,0.004865
M1_linear,2011-08,3310,0.898187,0.101813,0.000000,33.638951,0.004834
M1_linear,2011-09,3324,0.894705,0.105295,0.000000,33.481664,0.003610
M1_linear,2011-10,3373,0.875185,0.124815,0.000000,32.337401,0.003261
M1_linear,2011-11,3388,0.859799,0.140201,0.000000,31.767039,0.003247
M2_gbm_poisson,2011-06,3284,0.931790,0.068210,0.000000,26.309341,0.000000
M2_gbm_poisson,2011-07,3289,0.904530,0.095470,0.000000,24.875788,0.000000
M2_gbm_poisson,2011-08,3310,0.898187,0.101813,0.000000,23.457798,0.000000
M2_gbm_poisson,2011-09,3324,0.894705,0.105295,0.000000,23.284802,0.000000
M2_gbm_poisson,2011-10,3373,0.875185,0.124815,0.000000,22.345997,0.000000
M2_gbm_poisson,2011-11,3388,0.859799,0.140201,0.000000,21.992354,0.000000
M3_gbm_squared,2011-06,3284,0.931790,0.068210,0.000000,26.415326,0.000000
M3_gbm_squared,2011-07,3289,0.904530,0.095470,0.000000,24.729491,0.000000
M3_gbm_squared,2011-08,3310,0.898187,0.101813,0.000000,24.069441,0.000000
M3_gbm_squared,2011-09,3324,0.894705,0.105295,0.000000,23.150979,0.000000
M3_gbm_squared,2011-10,3373,0.875185,0.124815,0.000000,21.877878,0.000000
M3_gbm_squared,2011-11,3388,0.859799,0.140201,0.000000,21.891285,0.000000
M4_gbm_absolute,2011-06,3284,0.931790,0.068210,0.000000,21.224042,0.000000
M4_gbm_absolute,2011-07,3289,0.904530,0.095470,0.000000,19.151676,0.000000
M4_gbm_absolute,2011-08,3310,0.898187,0.101813,0.000000,17.737069,0.000000
M4_gbm_absolute,2011-09,3324,0.894705,0.105295,0.000000,17.303333,0.001203
M4_gbm_absolute,2011-10,3373,0.875185,0.124815,0.000000,16.230567,0.001482
M4_gbm_absolute,2011-11,3388,0.859799,0.140201,0.000000,16.502259,0.001181
