stock_code,forecast_origin,target_month,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_median_6,rolling_std_3,rolling_max_6,nonzero_months_6,months_since_last_sale,product_age_months,invoice_count_lag_1,avg_unit_price_lag_1,target_month_of_year,target_quarter,y,is_active
10002,2010-02,2010-03,257,291,215,254.333333,254.333333,257.000000,31.084115,291,3,1,3,15,0.856304,3,1,641,True
10002,2010-03,2010-04,641,257,291,396.333333,351.000000,274.000000,173.561388,641,4,1,4,17,0.769251,4,2,1132,True
10002,2010-04,2010-05,1132,641,257,676.666667,507.200000,291.000000,358.106440,1132,5,1,5,24,0.745345,5,2,1465,True
10002,2010-05,2010-06,1465,1132,641,1079.333333,666.833333,466.000000,338.451703,1465,6,1,6,33,0.790096,6,2,463,True
10002,2010-06,2010-07,463,1465,1132,1020.000000,708.166667,552.000000,416.660533,1465,6,1,7,37,0.873002,7,3,512,True
10002,2010-07,2010-08,512,463,1465,813.333333,745.000000,576.500000,461.231925,1465,6,1,8,25,0.813457,8,3,586,True
10002,2010-08,2010-09,586,512,463,520.333333,799.833333,613.500000,50.559096,1465,6,1,9,23,0.768174,9,3,240,True
10002,2010-09,2010-10,240,586,512,446.000000,733.000000,549.000000,148.763795,1465,6,1,10,20,0.890500,10,4,1045,True
10002,2010-10,2010-11,1045,240,586,623.666667,718.500000,549.000000,329.717387,1465,6,1,11,23,0.759780,11,4,964,True
10002,2010-11,2010-12,964,1045,240,749.666667,635.000000,549.000000,361.902688,1045,6,1,12,37,0.783392,12,4,251,True
10002,2010-12,2011-01,251,964,1045,753.333333,599.666667,549.000000,356.739245,1045,6,1,13,30,0.933904,1,1,340,True
10002,2011-01,2011-02,340,251,964,518.333333,571.000000,463.000000,317.221619,1045,6,1,14,21,0.856971,2,1,52,True
10002,2011-02,2011-03,52,340,251,214.333333,482.000000,295.500000,120.400258,1045,6,1,15,7,0.880000,3,1,28,True
10002,2011-03,2011-04,28,52,340,140.000000,446.666667,295.500000,141.760361,1045,6,1,16,8,0.989286,4,2,189,True
10002,2011-04,2011-05,189,28,52,89.666667,304.000000,220.000000,70.919360,964,6,1,17,5,0.850000,5,2,0,True
10002,2011-05,2011-06,0,189,28,72.333333,143.333333,120.500000,83.283985,340,5,2,18,0,0.850000,6,2,0,True
10002,2011-06,2011-07,0,0,189,63.000000,101.500000,40.000000,89.095454,340,4,3,19,0,0.850000,7,3,0,True
10002,2011-07,2011-08,0,0,0,0.000000,44.833333,14.000000,0.000000,189,3,4,20,0,0.850000,8,3,0,True
10002,2011-08,2011-09,0,0,0,0.000000,36.166667,0.000000,0.000000,189,2,5,21,0,0.850000,9,3,0,True
10002,2011-09,2011-10,0,0,0,0.000000,31.500000,0.000000,0.000000,189,1,6,22,0,0.850000,10,4,0,True
10002R,2010-02,2010-03,0,1,3,1.333333,1.333333,1.000000,1.247219,3,2,2,3,0,5.060000,3,1,0,True
10002R,2010-03,2010-04,0,0,1,0.333333,1.000000,0.500000,0.471405,3,2,3,4,0,5.060000,4,2,0,True
10002R,2010-04,2010-05,0,0,0,0.000000,0.800000,0.000000,0.000000,3,2,4,5,0,5.060000,5,2,0,True
10002R,2010-05,2010-06,0,0,0,0.000000,0.666667,0.000000,0.000000,3,2,5,6,0,5.060000,6,2,0,True
10002R,2010-06,2010-07,0,0,0,0.000000,0.166667,0.000000,0.000000,1,1,6,7,0,5.060000,7,3,0,True
10080,2010-02,2010-03,0,0,4,1.333333,1.333333,0.000000,1.885618,4,1,3,3,0,0.850000,3,1,0,True
10080,2010-03,2010-04,0,0,0,0.000000,1.000000,0.000000,0.000000,4,1,4,4,0,0.850000,4,2,0,True
10080,2010-04,2010-05,0,0,0,0.000000,0.800000,0.000000,0.000000,4,1,5,5,0,0.850000,5,2,0,True
10080,2010-05,2010-06,0,0,0,0.000000,0.666667,0.000000,0.000000,4,1,6,6,0,0.850000,6,2,0,True
10080,2010-07,2010-08,1,0,0,0.333333,0.166667,0.000000,0.471405,1,1,1,8,1,0.850000,8,3,0,True
10080,2010-08,2010-09,0,1,0,0.333333,0.166667,0.000000,0.471405,1,1,2,9,0,0.850000,9,3,6,True
10080,2010-09,2010-10,6,0,1,2.333333,1.166667,0.000000,2.624669,6,2,1,10,1,0.850000,10,4,0,True
10080,2010-10,2010-11,0,6,0,2.000000,1.166667,0.000000,2.828427,6,2,2,11,0,0.850000,11,4,1,True
10080,2010-11,2010-12,1,0,6,2.333333,1.333333,0.500000,2.624669,6,3,1,12,1,0.850000,12,4,0,True
10080,2010-12,2011-01,0,1,0,0.333333,1.333333,0.500000,0.471405,6,3,2,13,0,0.850000,1,1,0,True
10080,2011-01,2011-02,0,0,1,0.333333,1.166667,0.000000,0.471405,6,2,3,14,0,0.850000,2,1,2,True
10080,2011-02,2011-03,2,0,0,0.666667,1.500000,0.500000,0.942809,6,3,1,15,1,0.850000,3,1,0,True
10080,2011-03,2011-04,0,2,0,0.666667,0.500000,0.000000,0.942809,2,2,2,16,0,0.850000,4,2,0,True
10080,2011-04,2011-05,0,0,2,0.666667,0.500000,0.000000,0.942809,2,2,3,17,0,0.850000,5,2,0,True
10080,2011-05,2011-06,0,0,0,0.000000,0.333333,0.000000,0.000000,2,1,4,18,0,0.850000,6,2,60,True
10080,2011-06,2011-07,60,0,0,20.000000,10.333333,0.000000,28.284271,60,2,1,19,2,0.390000,7,3,24,True
10080,2011-07,2011-08,24,60,0,28.000000,14.333333,1.000000,24.657656,60,3,1,20,2,0.390000,8,3,60,True
10080,2011-08,2011-09,60,24,60,48.000000,24.000000,12.000000,16.970563,60,3,1,21,4,0.390000,9,3,60,True
10080,2011-09,2011-10,60,60,24,48.000000,34.000000,42.000000,16.970563,60,4,1,22,4,0.390000,10,4,6,True
10080,2011-10,2011-11,6,60,60,42.000000,35.000000,42.000000,25.455844,60,5,1,23,3,0.390000,11,4,91,True
10109,2010-02,2010-03,0,0,4,1.333333,1.333333,0.000000,1.885618,4,1,3,3,0,0.420000,3,1,0,True
10109,2010-03,2010-04,0,0,0,0.000000,1.000000,0.000000,0.000000,4,1,4,4,0,0.420000,4,2,0,True
10109,2010-04,2010-05,0,0,0,0.000000,0.800000,0.000000,0.000000,4,1,5,5,0,0.420000,5,2,0,True
